label,speaker,language,x,y
VF19B_can,VF19B,can,4.644526146251986,-0.016265741725553624
VF19B_eng,VF19B,eng,1.4555811134821417,1.820697919876928
VF19D_can,VF19D,can,-3.7833025592195457,0.1719699318544794
VF19D_eng,VF19D,eng,-4.313177343423681,-0.7310184656905127
VF21A_can,VF21A,can,-2.088568171528478,-0.04283351841934174
VF21A_eng,VF21A,eng,0.009794175590574763,-1.724037802756384
VF21B_can,VF21B,can,3.5366598701116816,0.1679050151328999
VF21B_eng,VF21B,eng,3.2616389197516797,0.35970930740897267
VF21C_can,VF21C,can,3.6484891255352565,2.2838624525425617
VF21C_eng,VF21C,eng,3.1779414832551094,2.5607592222830644
VF21D_can,VF21D,can,3.7784391286116183,-1.5795372805760968
VF21D_eng,VF21D,eng,3.2941459872767718,-2.3145940766508164
VF23B_can,VF23B,can,-3.648256372929847,-3.6234965607905334
VF23B_eng,VF23B,eng,-2.530838117445782,-4.094676417912753
VF23C_can,VF23C,can,-0.36283632657911224,-3.9414840228626433
VF23C_eng,VF23C,eng,-1.2767545474115163,-5.10813933152898
VF26A_can,VF26A,can,-1.3432562689185494,4.572530324149202
VF26A_eng,VF26A,eng,-0.7862419925911214,5.13874603199844
VF32A_can,VF32A,can,-3.2857711929231543,3.1068785567600385
VF32A_eng,VF32A,eng,-3.388213056896031,2.993024456907029
