label,speaker,language,dim1,dim2,dim3
VF19B_Can,VF19B,Can,0.5581992939885385,0.26393241635168546,0.23061788924293486
VF19D_Can,VF19D,Can,-0.39592204367193645,0.22504976687750444,-0.2840549984855146
VF21A_Can,VF21A,Can,-0.13321268916473433,-0.16697324571408598,-0.44450453191283196
VF21B_Can,VF21B,Can,0.6283511714549896,-0.17172052391311127,-0.12707752690074664
VF21C_Can,VF21C,Can,0.41857685461277405,-0.40197459869483354,0.21981227499270933
VF21D_Can,VF21D,Can,0.4769185762818156,0.324357994111515,-0.217119849159778
VF23B_Can,VF23B,Can,-0.29723284788911547,0.6516404025474083,0.1447227099402539
VF23C_Can,VF23C,Can,-0.24383417988358463,0.08034828286999698,0.4720423630722919
VF26A_Can,VF26A,Can,-0.3177657290709418,-0.6026527069743383,0.047646345211938064
VF32A_Can,VF32A,Can,-0.6940784066578386,-0.20200778746174375,-0.04208467600129511
