label,speaker,language,dim1,dim2,dim3
VF19B_Can,VF19B,Can,0.7267760751261987,0.09331880280741081,0.09594265565096947
VF19D_Can,VF19D,Can,-0.11166400171618387,0.3256817012646905,-0.3280976767123968
VF21A_Can,VF21A,Can,-0.368218520999543,-0.011757271727687441,-0.4206751841196966
VF21B_Can,VF21B,Can,0.5646756732142107,-0.22325438754250454,-0.20041321172393875
VF21C_Can,VF21C,Can,0.34961552704936344,-0.35918486680838213,0.27542095604950173
VF21D_Can,VF21D,Can,0.22506895182923653,-0.5118483390347104,-0.1561967796173944
VF23B_Can,VF23B,Can,0.02630558330502334,0.6952200499819494,0.08738926546092259
VF23C_Can,VF23C,Can,-0.11368773479606502,0.262765403520508,0.4770060378242842
VF26A_Can,VF26A,Can,-0.5548196518462835,-0.37028143334052466,0.1692474105544569
VF32A_Can,VF32A,Can,-0.7440519011659654,0.09934034087926223,3.7652663333392694e-4
