label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Can,VF19B,Can,-0.31435844998893553,-0.20591151115513462,0.03770497194056778,0.07433669896862011,0.009026401162695336,-0.3764357492813698
VF19B_Eng,VF19B,Eng,-0.2605168853319794,-0.13853343317752317,0.02468484152077438,0.05189847170874516,0.036211388451316336,-0.38471812712107356
VF19D_Can,VF19D,Can,0.26233091308310724,0.28096356649216164,-0.10504087773425456,-0.01517481970583186,-0.052365561036563674,0.3532316697326714
VF19D_Eng,VF19D,Eng,0.27097835761479944,0.23545992329933108,-0.0885824606159671,-0.02388870056852401,-0.03308681327580086,0.37495768168037225
VF21A_Can,VF21A,Can,-0.11322888387443475,0.3454307001228058,-0.45946266438817085,0.03783614451566289,0.2472563494819531,-0.028851165993791922
VF21A_Eng,VF21A,Eng,-0.09084153179146554,0.1966435319637035,-0.4822707032650683,0.03992468217316801,0.27553420063498174,-0.04185447571632623
VF21B_Can,VF21B,Can,-0.3338981756813683,-0.24275528020505938,-0.21357181624917415,0.20256522961031995,-0.3521185374357451,0.04894394886197231
VF21B_Eng,VF21B,Eng,-0.27476799129357193,-0.31365784081453096,-0.2063267701540647,0.1420362468783452,-0.37689935128175034,0.055501398886407705
VF21C_Can,VF21C,Can,-0.3452582801704734,-0.25180597430569374,0.11917380222063159,-0.4327228039768016,-0.14182364408720463,0.06831511853522289
VF21C_Eng,VF21C,Eng,-0.35755578550024336,-0.24082733662169378,0.08700552400120994,-0.4643798918983738,-0.11350260738993909,0.06295093071664092
VF21D_Can,VF21D,Can,-0.44806072956509907,-0.31880940710988775,0.1107330985890645,0.2029690343956917,0.23939424950180269,0.1637709567399891
VF21D_Eng,VF21D,Eng,-0.40033366632277895,-0.36051402894759066,0.09569421819022912,0.18709126833751913,0.2799949415322878,0.1610847778725648
VF23B_Can,VF23B,Can,0.548903693246626,-0.1377125280199075,0.14528811220010038,0.4126672708949501,-0.05681232143773762,-0.03592405116116029
VF23B_Eng,VF23B,Eng,0.6060053360048127,-0.23597886673436388,0.1575112880302005,0.33136300769876786,-0.052211379188776635,-0.03492361458919059
VF23C_Can,VF23C,Can,0.5144502642503365,-0.332219099629228,0.02336051624012134,-0.2319378015066136,0.26052636547122504,-0.05763769659080318
VF23C_Eng,VF23C,Eng,0.5674855644566525,-0.3815680746062872,-0.0048653551751478485,-0.23244784098780683,0.22439049291969207,-0.04328232164554397
VF26A_Can,VF26A,Can,-0.18707357503684768,0.5377648226174863,0.4391480259444284,0.05569129674799281,0.0765347683168777,0.0020087624665668553
VF26A_Eng,VF26A,Eng,-0.2087839957321942,0.5235941891543595,0.45491256622587883,0.03794085361578409,0.06450181997192427,-0.003766385746792734
VF32A_Can,VF32A,Can,0.27998472342233455,0.542047518160426,-0.062341281883590824,-0.18767354823680832,-0.26690337246731516,-0.14190722888571838
VF32A_Eng,VF32A,Eng,0.2845390982107863,0.49838912951660286,-0.07275503563780392,-0.18809479866483078,-0.267647389843791,-0.14146442876063464
