label,speaker,language,dim1,dim2
VF19B_Mixed,VF19B,Mixed,0.04296878240488133,-0.6181119790514437
VF19D_Mixed,VF19D,Mixed,-0.2239071951655791,0.5061596338738004
VF21A_Mixed,VF21A,Mixed,-0.4530805211495584,-0.421728068573681
VF21B_Mixed,VF21B,Mixed,0.32736216399020296,-0.4555936660419337
VF21C_Mixed,VF21C,Mixed,0.6568481273108674,-0.1943839457792704
VF21D_Mixed,VF21D,Mixed,0.2812959187702914,-0.20395847943749207
VF23B_Mixed,VF23B,Mixed,-0.7105861731318085,0.2946432276848786
VF23C_Mixed,VF23C,Mixed,-0.6591825779424141,-0.05520754832869136
VF26A_Mixed,VF26A,Mixed,0.5468056644985986,0.451033854981008
VF32A_Mixed,VF32A,Mixed,0.19147581041454168,0.6971469706728464
