label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Eng,VF19B,Eng,0.5463552123506875,0.2870385272038097,0.2263148768154983,0.28970660846036356,-0.022037021506930272,-0.05500240382706444
VF19D_Eng,VF19D,Eng,-0.43680941787713284,0.15719488493113676,0.13746103809135612,-7.11272867877949e-4,-0.3252665621995844,0.16009364394877057
VF21A_Eng,VF21A,Eng,0.07348999769368618,-0.37763519437511833,0.20598234599012136,-0.3548263623092999,0.10305686794421487,-0.13787278883048013
VF21B_Eng,VF21B,Eng,0.26448294650318904,-0.21376423522213606,-0.39555103165971073,-0.07879230700126871,-0.11404932221983083,0.17614467554259522
VF21C_Eng,VF21C,Eng,0.42741814971284525,-0.09284880390154382,-0.2741616182861102,-0.0031480937628265704,-0.21376803482916454,-0.18435656960937413
VF21D_Eng,VF21D,Eng,0.24415123581138326,-0.3877831323584729,0.2833706974171626,-0.040783794669171446,0.027486253037403825,0.23329816549825796
VF23B_Eng,VF23B,Eng,-0.6675066655782236,-0.21517865320711854,-0.12391809172075327,0.12329943535024265,0.15010644428890593,-0.10008184500673921
VF23C_Eng,VF23C,Eng,-0.37510230090178087,-0.2238808699937656,-0.03106779891444001,0.4029820284926489,0.13562718808347976,-0.08424577309234305
VF26A_Eng,VF26A,Eng,0.15315608175031414,0.4827964057372815,-0.14961866082887573,-0.10587208467397433,0.3250950199985589,0.1405617078651293
VF32A_Eng,VF32A,Eng,-0.22963523946495484,0.5840610711859481,0.12118824309572734,-0.23185415701885032,-0.06625083259705213,-0.1485388124887443
