label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Can,VF19B,Can,0.8059443699944253,0.04892422696714136,0.07282078175195478,0.05687792931239464
VF19D_Can,VF19D,Can,-0.10251685665095392,0.2281566505159129,-0.2997215676748269,0.25327617994272034
VF21A_Can,VF21A,Can,0.07218292620896934,-0.025532307025124056,-0.500576072470095,-0.06768114124100104
VF21B_Can,VF21B,Can,0.4030488313478675,-0.4824748333356578,0.13050010919171598,-0.10457570456679009
VF21C_Can,VF21C,Can,-0.0548990842657541,-0.057156544810346654,0.4936756901201461,0.10413580950461479
VF21D_Can,VF21D,Can,0.13240706063364766,-0.4524139953185166,0.017878810470159354,0.2779076910330699
VF23B_Can,VF23B,Can,0.05577172230947703,0.7105162732822072,0.11237589705561767,-0.007794386549672997
VF23C_Can,VF23C,Can,0.08566474852504805,0.21108013223109295,0.06918989123583726,-0.4059883309039869
VF26A_Can,VF26A,Can,-0.622521570286338,-0.3194487070859398,-0.04180288994399447,-0.1899771383407884
VF32A_Can,VF32A,Can,-0.7750821478164185,0.13834910457922234,-0.05434064973662551,0.08381909180944014
