label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Can,VF19B,Can,0.156888145017338,0.0413880114229067,0.05692573661671255,0.00743072797550021,0.3533219529255097
VF19D_Can,VF19D,Can,-0.14096087476513905,0.10828468420435178,-0.20385665205852666,0.36763643074164243,-0.028577401837321225
VF21A_Can,VF21A,Can,-0.02170490155402588,-0.06666046119008837,-0.5186593283507926,-0.052508850315761066,0.020401979484711587
VF21B_Can,VF21B,Can,0.16830233531314626,-0.6764115755836035,0.08143991468778349,0.025857203515030635,0.08288117009633095
VF21C_Can,VF21C,Can,0.01131791581105139,-0.007975629612743111,0.5089535140207955,0.13000605595076484,-0.003650548405952798
VF21D_Can,VF21D,Can,0.8881321646716024,-0.03363233431595598,0.006225414711946581,0.03699633959541006,-0.046219517316492896
VF23B_Can,VF23B,Can,0.05229439528191097,0.768907508724331,0.01396658513016141,-0.04649600546488449,-0.027390744894312268
VF23C_Can,VF23C,Can,-0.08363385950458421,0.04967955135071332,0.0766892441072902,-0.4377861051829523,0.022326766143500727
VF26A_Can,VF26A,Can,-0.1067721162352842,-0.15969083582601865,0.0010523216273189162,-0.06317797726113421,-0.35119354644377887
VF32A_Can,VF32A,Can,-0.9238632040359811,-0.02388891917395355,-0.02273675049268691,0.032042180446268394,-0.021900109752071253
