label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Mixed,VF19B,Mixed,0.3097904638785568,-0.17163579960301592,-0.053819089895279504,0.10634801026565086,0.4263710444862973,-0.13685824345810021,-0.01524054531511525
VF19D_Mixed,VF19D,Mixed,-0.4140440465274647,0.37316123843594146,0.28335260206416885,0.08273005298045487,0.0463481889243767,0.032654092741980084,-0.20217216228582546
VF21A_Mixed,VF21A,Mixed,0.07620186124067026,-0.10022808554972316,0.1944325332377248,-0.5105265049655366,0.025359917165699145,-0.11699784738930653,-0.09390572713137839
VF21B_Mixed,VF21B,Mixed,0.1730315239231109,-0.3356013090480151,0.31381077391260254,0.3656623792669167,-4.981466999825403e-4,0.06780270986689504,0.07127473742658434
VF21C_Mixed,VF21C,Mixed,0.3243878597323648,-0.28965961885413566,-0.15739345267831503,0.11797657554831781,-0.33049138035893466,-0.2012108928392021,-0.06975384686250521
VF21D_Mixed,VF21D,Mixed,0.4609875917141531,-0.08332243689637814,0.08914116323064104,-0.03389202590737692,-0.12095171258855486,0.35410544298374996,-0.030020774234198397
VF23B_Mixed,VF23B,Mixed,-0.6114736072783099,-0.19398651780092435,-0.42931938540182873,0.07162454656011392,0.02745509909745903,0.07822705548107654,-0.10006241584616392
VF23C_Mixed,VF23C,Mixed,-0.41793932348580154,-0.3115246190399538,-0.07307492513215895,-0.24805035620916357,0.04038385023167457,0.11132274610444799,0.20871870636105247
VF26A_Mixed,VF26A,Mixed,0.30525569736936153,0.622298933431557,-0.3554278668632502,-0.026180370923142175,0.01766668258980953,0.05111972116328666,0.07549983038616555
VF32A_Mixed,VF32A,Mixed,-0.20619802056665698,0.4904982149246311,0.1882976475256771,0.0743076933837574,-0.1316435428478357,-0.24016478465480012,0.1556621975014102
