label,speaker,language,dim1,dim2,dim3
VF19B_Eng,VF19B,Eng,0.13211467219391854,-0.030927803415818647,0.40949471763425677
VF19D_Eng,VF19D,Eng,-0.19214957583732914,-0.537973444941195,-0.22632656119429928
VF21A_Eng,VF21A,Eng,-0.18075055374514862,0.20907624554831056,-0.3860008222715014
VF21B_Eng,VF21B,Eng,0.15026970259727207,0.6802446552789646,0.060755615324943654
VF21C_Eng,VF21C,Eng,0.5083632931638595,0.3227196964248072,0.1434881615694213
VF21D_Eng,VF21D,Eng,0.37887780992534303,0.23797755986595864,-0.318410273484654
VF23B_Eng,VF23B,Eng,-0.6601450654801825,0.1386181129554777,0.16213859164691308
VF23C_Eng,VF23C,Eng,-0.671154700271442,0.13888435849672212,-0.018413015628850928
VF26A_Eng,VF26A,Eng,0.6338205215727274,-0.5205485335739272,-0.004399554756804713
VF32A_Eng,VF32A,Eng,-0.09924610411902393,-0.6380708466394134,0.17767314116057442
