label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Can,VF19B,Can,-0.3358982732817883,0.1976251840490968,0.020080037316801767,0.42391525328891777
VF19B_Eng,VF19B,Eng,-0.21806554241704873,0.16481062629117754,-0.0035532491324880015,0.4338886208841227
VF19D_Can,VF19D,Can,0.37263063124274215,-0.44355287845002533,-0.1710744077169085,-0.22597197859638973
VF19D_Eng,VF19D,Eng,0.3575917477483973,-0.4654466634116072,-0.15248706218011698,-0.2711584144110584
VF21A_Can,VF21A,Can,0.040255536815375983,-0.010480971765035603,-0.4967888636501466,0.07673270439299472
VF21A_Eng,VF21A,Eng,-0.09583379983776374,0.18834037746891782,-0.4910565002446034,0.05222160761791501
VF21B_Can,VF21B,Can,-0.64087681475369,-0.1791638190257116,-0.12787008190247134,-0.14624801613681013
VF21B_Eng,VF21B,Eng,-0.611088451455121,-0.24694664749016623,-0.14222757367270789,-0.1490399533385805
VF21C_Can,VF21C,Can,-0.2792723276786298,-0.626646466375971,0.11351884925400563,0.14792650188922987
VF21C_Eng,VF21C,Eng,-0.27139155351358074,-0.6587771045211657,0.09550619920195969,0.16170697766259876
VF21D_Can,VF21D,Can,-0.4952868779351958,0.16600458659499928,0.3377893525202089,-0.056340720915630936
VF21D_Eng,VF21D,Eng,-0.4975951197519006,0.23660042973159073,0.3269286768291374,-0.06186115939850433
VF23B_Can,VF23B,Can,0.09496144116694592,0.2847725549905553,0.008632381588085079,-0.47518630824843144
VF23B_Eng,VF23B,Eng,0.13216344020309564,0.42973986563235533,-0.028275126527533584,-0.41791225461395687
VF23C_Can,VF23C,Can,0.1770541021468223,0.7249086872464888,-0.03128035519536698,0.024485431089734097
VF23C_Eng,VF23C,Eng,0.2087083469243344,0.7582491952899112,-0.05836341074204545,-0.021417990134116868
VF26A_Can,VF26A,Can,0.39546176308179004,-0.08720027629738535,0.4491279218298347,-1.2815365952222046e-4
VF26A_Eng,VF26A,Eng,0.39464130263091995,-0.10290056516116411,0.46717689942489066,0.02177802303419276
VF32A_Can,VF32A,Can,0.6521344187884064,-0.1665380900580261,-0.04273693567177772,0.23933041292526766
VF32A_Eng,VF32A,Eng,0.6197060298758291,-0.1633980247385668,-0.07304675132912271,0.2432794166679992
