label,speaker,language,dim1,dim2,dim3
VF19B_Mixed,VF19B,Mixed,0.2090056096282422,0.5948963037549444,0.07253900638159333
VF19D_Mixed,VF19D,Mixed,-0.4999527474352856,-0.3284214770967971,0.18464344073608543
VF21A_Mixed,VF21A,Mixed,-0.3011778474834831,0.022038858374153543,-0.43018065548609846
VF21B_Mixed,VF21B,Mixed,0.6076575973963033,0.054762521130822604,0.024565863554898947
VF21C_Mixed,VF21C,Mixed,0.4463383002290233,0.12017353828897194,0.3373594033908593
VF21D_Mixed,VF21D,Mixed,0.3758043472174796,0.3321823878888054,-0.31230114999273534
VF23B_Mixed,VF23B,Mixed,0.17105753327430814,-0.7699572874165765,0.042480501465587926
VF23C_Mixed,VF23C,Mixed,0.09912268806366978,-0.5179351840084176,-0.36177184476880236
VF26A_Mixed,VF26A,Mixed,-0.6610462740165336,0.4559169720351379,0.005800566186866966
VF32A_Mixed,VF32A,Mixed,-0.44680920687370723,0.036343367048919994,0.436864868531735
