label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Can,VF19B,Can,-0.13988399072194252,0.008055065651692755,0.4897420787908332,0.18623503602174152,-0.02466901938781961
VF19B_Eng,VF19B,Eng,-0.07820570949752237,0.012732455971036064,0.4695663586139732,0.1963060887658373,-0.03199000463855349
VF19D_Can,VF19D,Can,0.11152424527904686,-0.006119952251789197,-0.4638554030216007,-0.20264234134192122,-0.0118310372295496
VF19D_Eng,VF19D,Eng,0.10834954216955002,-0.006466711637141185,-0.4825170985144423,-0.204486114977223,0.004823981249603024
VF21A_Can,VF21A,Can,-0.07194436325055577,-0.015358693723447574,-0.0622304674565814,-0.01029165272179626,0.48049276970841515
VF21A_Eng,VF21A,Eng,-0.14081693584164462,0.016338683648032884,-0.02600402936803506,0.02615403709902039,0.48987952897584
VF21B_Can,VF21B,Can,-0.775500390040965,0.02717144569861456,-0.023944647091823736,-0.03773868543045581,-0.1117586835986866
VF21B_Eng,VF21B,Eng,-0.7799676350628492,-0.008800304429946951,-0.04637893170590589,-0.01692336290021519,-0.11482970833463745
VF21C_Can,VF21C,Can,-0.14846812582937183,-0.7732088607751099,-0.002312229296741941,0.044995272149538135,-0.02495388185508088
VF21C_Eng,VF21C,Eng,-0.14347691128712925,-0.7906835031058013,-0.008036390239659654,0.04240424787988607,-0.0014850302956422694
VF21D_Can,VF21D,Can,-0.09940595959618327,-0.019575716646816985,0.22162327697645126,-0.4510785356762037,0.03212809477086193
VF21D_Eng,VF21D,Eng,-0.1027700378343385,0.015601189055657928,0.22673258423777376,-0.440334333986751,0.041371193947657425
VF23B_Can,VF23B,Can,0.05488552668270286,0.8181027722425606,-0.001187592527158986,-0.016669099113331278,0.0010731592093027355
VF23B_Eng,VF23B,Eng,0.05440028889474676,0.822126886500404,-0.01711362996716039,0.02462665065589514,8.370885455991073e-4
VF23C_Can,VF23C,Can,0.019053157388963356,0.10220487430018954,-0.1874345368141286,0.4640084233894814,0.014874336689236215
VF23C_Eng,VF23C,Eng,-0.005522641065454288,0.12838152385385934,-0.2141784343101725,0.4665878247093123,0.011599016468992831
VF26A_Can,VF26A,Can,0.790389748741413,-0.12847617726904853,0.09856860027738583,-0.017972309376224557,0.08887562015457447
VF26A_Eng,VF26A,Eng,0.7978795207689322,-0.15963398555478756,0.10637696387338197,-0.007737636101595801,0.08965791413524504
VF32A_Can,VF32A,Can,0.294245545962269,-0.029108601185895987,-0.03255081626287003,-0.024707514160289983,-0.4661736668451878
VF32A_Eng,VF32A,Eng,0.2552351241404564,-0.013282390342265317,-0.04486565619366137,-0.020735994884799637,-0.46792167167049753
