label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Can,VF19B,Can,0.3792611155625185,-0.0023121854754912605,-0.05349173244313724,0.3046580867030828,0.22811064895357344,-0.19241417847058065,0.027909205713469398
VF19D_Can,VF19D,Can,-0.4435136376209371,-0.16508087401800006,-0.36367857330749703,0.012100465405954232,-0.13265506803656862,-0.015588283071957016,-0.10787124263219154
VF21A_Can,VF21A,Can,-0.3254543734248946,-0.37576799989407983,-0.21782899435422023,-0.0347001589466605,0.3163344134932788,0.0897958260070548,0.005673942273077744
VF21B_Can,VF21B,Can,0.5183165574424327,-0.16084319007657905,-0.01110600522786932,-0.07489130510991714,-0.21058804777968398,-0.22435381502185653,0.008369163001615951
VF21C_Can,VF21C,Can,0.5495503108874711,-0.02610240767934691,0.27409638510265794,3.8966408149609466e-4,0.07224110013679673,0.16736271121368543,-0.11004460933000347
VF21D_Can,VF21D,Can,0.3482343083324641,-0.24264793394611295,-0.20212432258600255,-0.11070313181334863,-0.16253477529246432,0.17081742312711523,0.1278576260586919
VF23B_Can,VF23B,Can,-0.0027324255942161382,0.5805732494945134,-0.07855064071184821,-0.3794105652248259,0.12840067444374997,-0.055597597395480765,-0.0158183875116907
VF23C_Can,VF23C,Can,-0.06494929583472403,0.5768823164587568,-0.08972760020125667,0.3131450077452196,-0.10895367427874174,0.11683383250209003,0.040896909936501344
VF26A_Can,VF26A,Can,-0.4105057853753846,-0.052080715142844354,0.44094352803986664,-0.051833762629351535,0.02213957250578174,-0.02188739675810518,0.13224796192094151
VF32A_Can,VF32A,Can,-0.5482067743747494,-0.1326202597208075,0.30146795568929463,0.021245699788383334,-0.15249484414573813,-0.0349685221318849,-0.10922056943043815
