label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Mixed,VF19B,Mixed,0.1406401673182142,-0.24084210311426527,-0.049415248663684554,-0.4517169302630262
VF19D_Mixed,VF19D,Mixed,-0.2326551894568616,0.35449298317338895,0.44805972506548986,0.1232536641762587
VF21A_Mixed,VF21A,Mixed,-0.6292139795011026,-0.07658467235248065,0.11025968628264109,-0.23101118719062383
VF21B_Mixed,VF21B,Mixed,0.10913211920014598,-0.5511205517033148,0.2604963754135601,-0.016294169081716218
VF21C_Mixed,VF21C,Mixed,0.6090417619115329,-0.1904108928814403,0.20825794885922924,0.13717358874072022
VF21D_Mixed,VF21D,Mixed,0.2820333408195372,-0.4346755362265746,-0.3551352652708987,0.014695578096243098
VF23B_Mixed,VF23B,Mixed,-0.3382745078074264,-0.054932369657611474,-0.061460091397332814,0.4985593158181262
VF23C_Mixed,VF23C,Mixed,-0.5434002795705752,0.07174500562339986,-0.39987555884343806,0.07488591807742306
VF26A_Mixed,VF26A,Mixed,0.43141866429266773,0.4786156122363592,-0.30521116616088645,0.07201951805078
VF32A_Mixed,VF32A,Mixed,0.17127790279387148,0.6437125249024983,0.14402359471522463,-0.22156529642431005
