label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Eng,VF19B,Eng,0.48896778702284166,0.09128655489340512,0.31286371102821064,0.1611663812643218
VF19D_Eng,VF19D,Eng,-0.5152072129897011,-0.03201016060032778,-0.03997658110130105,-0.3512359031031464
VF21A_Eng,VF21A,Eng,0.1351150492951385,-0.6901076661332446,0.045984393261229495,0.07339465949003766
VF21B_Eng,VF21B,Eng,0.32869621885501465,0.10727836887405703,-0.41694018313681136,-0.10196739007230692
VF21C_Eng,VF21C,Eng,0.5207011352366866,0.1754757897176904,-0.18434251931868154,0.22054987302336226
VF21D_Eng,VF21D,Eng,0.3636612936501623,-0.37351701365705675,-0.03250155689734031,-0.3180871548555353
VF23B_Eng,VF23B,Eng,-0.5537478506324828,-0.06776602443987942,0.0323689127936693,0.3373266146113451
VF23C_Eng,VF23C,Eng,-0.5433930856810186,-0.09150169561709202,-0.20648363823445176,0.2516532513965182
VF26A_Eng,VF26A,Eng,0.008213472924924671,0.776373439127244,0.04944980507083552,-0.12035782824899334
VF32A_Eng,VF32A,Eng,-0.23300680768160953,0.10448840783520595,0.4395776565346376,-0.1524425035056001
