label,speaker,language,dim1,dim2
VF19B_Can,VF19B,Can,0.6829971881104114,0.20536968758792612
VF19D_Can,VF19D,Can,-0.5467505399941445,0.16054741971511538
VF21A_Can,VF21A,Can,-0.4233744553794831,-0.02774312514984237
VF21B_Can,VF21B,Can,0.6503519412174491,-0.14616273530677826
VF21C_Can,VF21C,Can,0.3853703617251244,-0.4852906029054765
VF21D_Can,VF21D,Can,0.37516360749069605,-0.09234071212935495
VF23B_Can,VF23B,Can,-0.307023227224668,0.6648308113542218
VF23C_Can,VF23C,Can,0.17986072616306065,0.5689590367943896
VF26A_Can,VF26A,Can,-0.32363549953777576,-0.5680575847010454
VF32A_Can,VF32A,Can,-0.672960102570627,-0.28011219525903597
