label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Mixed,VF19B,Mixed,0.2949537038881633,-0.18521278157246762,0.0030968773137085084,-0.05177544931707702,0.42938864458704407,-0.11884682371952252
VF19D_Mixed,VF19D,Mixed,-0.45058935295339075,0.41358578714816624,0.15794926125847683,0.26293605425673955,0.010086799205303826,0.16158426307186044
VF21A_Mixed,VF21A,Mixed,-0.09308541401024714,-0.17209508609035343,0.594318199767862,-0.050201996069601844,-0.04983502438481863,-0.04179124632608602
VF21B_Mixed,VF21B,Mixed,0.22699521060880049,-0.34043271534585584,-0.06938297588509479,0.4245587897421371,0.01163057745185699,0.00452597442460791
VF21C_Mixed,VF21C,Mixed,0.35651524609467183,-0.28696463130341116,-0.14172722196133478,-0.019516151347966998,-0.37941783135757606,-0.10796438919077962
VF21D_Mixed,VF21D,Mixed,0.34038252034604255,-0.2572988847033716,0.012194320463870246,-0.06002712051633824,0.00725346848715481,0.3610030849868241
VF23B_Mixed,VF23B,Mixed,-0.6773992907715479,-0.20274185019289895,-0.3715984906249587,0.034688518598888794,0.06817312696828742,-0.05132954381460855
VF23C_Mixed,VF23C,Mixed,-0.4084044980834434,-0.09465425609761394,0.013177455702249898,-0.4787270137104278,-0.02849875393888271,0.0123854179429412
VF26A_Mixed,VF26A,Mixed,0.3573581602899189,0.578044873923454,-0.27669024912360884,-0.14632980432367404,-0.015016005476403213,0.09220151654550644
VF32A_Mixed,VF32A,Mixed,0.05327371459105431,0.5477695442343519,0.07866282308881849,0.08439417268732813,-0.05376500154195733,-0.3117682539207456
