label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Can,VF19B,Can,0.10146283124632388,0.06159837655476989,0.02699788724684187,0.04602291053784586,0.04230243528855481,0.3253249080212913
VF19D_Can,VF19D,Can,-0.06365288320391396,0.0542871658085467,-0.15171830272561826,-0.06177430395843125,0.043588310884559583,-0.3050260786243941
VF21A_Can,VF21A,Can,0.0313631610518052,-0.005408455408781862,-0.5463614333695153,-0.1379021061761043,-0.01331367784885275,0.02889420172525847
VF21B_Can,VF21B,Can,0.20927735710437984,-0.13857806394615918,0.037535168197374236,0.06640968742171918,0.372295622959292,0.021811926400235476
VF21C_Can,VF21C,Can,-0.035826247025544544,-0.035923034408003575,0.17024629593713642,0.4467682637346749,-0.015205655350392104,-0.030052464065452665
VF21D_Can,VF21D,Can,0.8752377022541119,-0.092624465964314,0.02303506065735062,0.036878556031137585,-0.05131003111300057,-0.02465776589397624
VF23B_Can,VF23B,Can,-0.04830124143900941,0.7798460175496387,0.03431962506210284,-0.0010420024369277325,-0.17948254108032663,-0.006238692295427685
VF23C_Can,VF23C,Can,-0.03687321779785624,0.08227432824489415,0.44344708066808286,-0.32051361279901636,0.02683022136883295,-0.007436716047329153
VF26A_Can,VF26A,Can,-0.13480871648798465,-0.6178304459264647,0.03840600178034099,-0.06331775023871374,-0.2593349622670613,0.005036581649807014
VF32A_Can,VF32A,Can,-0.8978787457022805,-0.08764142250412801,-0.07590738345412383,-0.011529642116180325,0.03363027715845402,-0.007655900870012945
