label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Can,VF19B,Can,0.3374278263551297,0.07377804518376613,-0.015613616125723723,0.018992769387730767,0.17102769332541196,0.2280614747309807,0.029284550859891737
VF19D_Can,VF19D,Can,-0.36474006769074174,-0.2608735998024717,-0.07891437456673897,8.207299631141831e-4,0.03460609566030252,-0.2289138851001646,-0.004355761073499933
VF21A_Can,VF21A,Can,-0.39938980886666864,-0.5779118121614545,-0.020534149826849462,-0.07087066791639926,-0.017459752282276253,0.06178491925430592,0.10728244238391921
VF21B_Can,VF21B,Can,0.4458776408009716,-0.2206301464441155,-0.13564584835680213,-0.13041294563759617,0.1436856617538764,-0.0051209334942225555,-0.13664355674457648
VF21C_Can,VF21C,Can,0.2473596695837385,0.14668977925520602,0.14349047981720792,0.49568169384643945,0.09192334009880847,-0.04167673692573987,0.02026484068052219
VF21D_Can,VF21D,Can,0.7058595468156577,-0.09955149363325422,-0.03324091050051943,-0.1270756264799048,-0.011580556947587022,-0.08655055470625578,0.093565875518
VF23B_Can,VF23B,Can,-0.15917314694293638,0.20353846210526247,-0.5135850952211226,0.12893538287378953,-0.22862790068016897,0.03596936228022216,-0.018757050931114766
VF23C_Can,VF23C,Can,-0.26400927999436896,0.6944720772426742,-0.0448930314292431,-0.25961044652292903,0.0980306481741103,-0.023040765895161915,0.0467625690163883
VF26A_Can,VF26A,Can,0.09128021812939283,0.07884935622708718,0.4015390744053579,-0.1369352364332619,-0.30611018403694024,0.011220712516571116,-0.031104115892503652
VF32A_Can,VF32A,Can,-0.6404925981901775,-0.038360667972657025,0.2973974718044446,0.08047434691899388,0.024504954934457885,0.04826640733945421,-0.10629979381693695
