label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Mixed,VF19B,Mixed,0.4100767341645882,0.12560824578522123,0.07122854299387872,0.009709916243391792,0.3513641847381855
VF19D_Mixed,VF19D,Mixed,-0.3146713059454682,0.09562239209486857,0.5005030670465297,0.060881597929876484,0.011701786417195147
VF21A_Mixed,VF21A,Mixed,-0.046397295024686314,0.028328633586267315,0.10595609809997152,-0.5239951171748105,0.02813566076928061
VF21B_Mixed,VF21B,Mixed,0.2561687740894441,-0.686859837328536,0.05633184605187095,0.09713863308619901,0.07439654797945854
VF21C_Mixed,VF21C,Mixed,0.5432606579532112,-0.14289619206859244,0.1483618817587649,-0.02414856463727871,-0.28693535009914745
VF21D_Mixed,VF21D,Mixed,0.35277491831093727,-0.059913985321706484,-0.4794323978481719,-0.01805313385208203,0.0020284492249608935
VF23B_Mixed,VF23B,Mixed,-0.6201496682718755,-0.12527499735198883,-0.18455566035914167,0.03940237389035422,0.2731992227422689
VF23C_Mixed,VF23C,Mixed,-0.5041471009710098,-0.29113334043959843,-0.1811487627017083,-0.1394742492245126,-0.2402758073516289
VF26A_Mixed,VF26A,Mixed,0.01931142466536249,0.820317687364281,-0.08729161017776957,-0.012986190631185897,-0.10976229605906218
VF32A_Mixed,VF32A,Mixed,-0.09622713897040724,0.23620139367980258,0.05004699513585743,0.5115247343699986,-0.10385239836140756
