label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_Mixed,VF19B,Mixed,0.41138950550956627,-0.05063272441860957,-0.10133521528681257,0.13444063418030816,0.3946861861107456,0.03942513799116677
VF19D_Mixed,VF19D,Mixed,-0.3396827813418551,0.20009743705374425,0.48126415546337226,0.12077659234070444,-0.12041649588633402,-0.021349568347813652
VF21A_Mixed,VF21A,Mixed,-0.15706390871914777,-0.015008817375649762,0.20029057414532725,-0.48230537376004307,0.1972749670101938,-0.06736289289848839
VF21B_Mixed,VF21B,Mixed,0.2670669081525447,-0.6427460665407239,0.183926683361177,0.09282601991600944,-0.004574635620374866,0.04736358984532725
VF21C_Mixed,VF21C,Mixed,0.4261279792626725,-0.21199071002739883,-0.122861801440545,-0.13311708539361597,-0.35165522284726297,0.09657251823164223
VF21D_Mixed,VF21D,Mixed,0.36555388792068205,-0.05972434144787751,0.003692612140792615,0.039130246965318326,-0.06605864739938604,-0.3611878419107267
VF23B_Mixed,VF23B,Mixed,-0.5530591030870721,-0.11420142657926072,-0.20219922311171293,0.41948893338383736,0.009807920203721995,-0.08129814697803428
VF23C_Mixed,VF23C,Mixed,-0.52383253812924635,-0.20493454111642423,-0.3821814858050027,-0.23674404337234917,0.01967067884995084,-0.0015478652299708226
VF26A_Mixed,VF26A,Mixed,0.17063330607682925,0.7692251019933731,-0.16787277755331992,-0.03646626180272719,-0.06806016473773609,-0.03150886239159233
VF32A_Mixed,VF32A,Mixed,-0.06713325564501628,0.3299160884588166,0.10727647808677714,0.08197033754257962,-0.010674585683520314,0.3808939316885087
