label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6,dim7
VF19B_Mixed,VF19B,Mixed,-0.1240016763175505,0.35393282045815866,0.09091160196506501,-0.07730951403974952,0.3704589100200642,-0.23227754044493093,0.02051684590047439
VF19D_Mixed,VF19D,Mixed,-0.3252178484288298,-0.2595653098976072,0.4963661477835254,0.05185458989539856,-0.11862217419088172,0.12887995191183577,-0.045902169307481464
VF21A_Mixed,VF21A,Mixed,0.24925428077672562,-0.13229845119794492,0.01612823404142061,0.13080036424007496,0.3049883117951843,0.3236852696062625,-0.09144159174724481
VF21B_Mixed,VF21B,Mixed,0.08017764120967916,0.47927244394788027,0.02783636587185913,-0.01668689953591323,-0.19952924426705942,-0.09954765566411651,-0.24243069038328494
VF21C_Mixed,VF21C,Mixed,-0.03367229801284247,0.40406968116196085,-0.017457155656990807,0.43400591408100164,-0.09865908759492373,-0.06883565914892434,0.06694888099040261
VF21D_Mixed,VF21D,Mixed,0.04064508409308645,0.4366450904494978,-0.19719969290757491,-0.17897201758812495,-0.10409747063722839,0.2638501330488108,0.16093402834743956
VF23B_Mixed,VF23B,Mixed,0.3635615850215686,-0.29508147726147915,0.13920019236321765,-0.45770860412497005,-0.05775190284376544,-0.07939997458928229,-0.051902410765010426
VF23C_Mixed,VF23C,Mixed,0.6987874188266647,-0.32406044057349526,-0.061336248413477845,0.11342448265664681,-0.04375112175535013,-0.1342121025093335,0.11460130193620943
VF26A_Mixed,VF26A,Mixed,-0.38518989796031683,-0.31700346709921007,-0.4737950366052463,0.023806923769362276,0.011563568235853361,-0.00523994620943374,-0.17963266448147733
VF32A_Mixed,VF32A,Mixed,-0.564344289208208,-0.34591088998774366,-0.020654408441802358,-0.023215239353737913,-0.06459978876188475,-0.09690247600087103,0.2483084695099317
