label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Can,VF19B,Can,-0.20095355796675218,-0.08866230757850133,0.006274025498118555,0.14508118069099235,-0.4501074926282291
VF19B_Eng,VF19B,Eng,-0.14111290603514245,-0.05405835639329111,0.02413009755748886,0.12146949132926357,-0.45654822776515225
VF19D_Can,VF19D,Can,0.6087933067500585,0.21974424382314506,-0.11016172197914682,0.2820030420582838,-0.019652331214597397
VF19D_Eng,VF19D,Eng,0.6128936959792598,0.19476020376928055,-0.1073744127046797,0.2983443867320515,-0.005201340914158345
VF21A_Can,VF21A,Can,0.17408791506924573,0.09747087542961862,-0.07081344555850155,-0.10483260062157544,0.4553781649227282
VF21A_Eng,VF21A,Eng,0.11722619652011806,-0.032718292537415754,-0.04613649743582533,-0.10784170218853528,0.46706371344733383
VF21B_Can,VF21B,Can,-0.26482763446427104,-0.05624474336996822,-0.5037223102356697,0.07470432088033435,-0.003784183620338913
VF21B_Eng,VF21B,Eng,-0.26003268294041126,-0.08060972300082483,-0.5030280259439004,0.02908418912141557,-0.0060540447172725284
VF21C_Can,VF21C,Can,-0.6163582201409755,-0.15618493327286553,0.050591094285882765,-0.30815593107211137,-0.001999103777270139
VF21C_Eng,VF21C,Eng,-0.6224101965232928,-0.15731295864799733,0.06786200770915393,-0.3207942758781693,0.016707005497110048
VF21D_Can,VF21D,Can,-0.3386626276441326,-0.32342079793626644,0.05536754813554352,0.3957924434260337,0.13318099735863823
VF21D_Eng,VF21D,Eng,-0.3206257954863187,-0.36929589732910467,0.08165955212164536,0.379928999136941,0.14897841239908152
VF23B_Can,VF23B,Can,0.26471315930896,-0.06803870825321381,0.5237153351321442,-0.02682833144872372,0.0017466441378076042
VF23B_Eng,VF23B,Eng,0.27782158241198873,-0.13770285794878326,0.5101975156248852,-0.059509413497364584,-0.006832652160537182
VF23C_Can,VF23C,Can,0.399183141384939,-0.6025058049192096,-0.042775640468315404,-0.1689557633814805,-0.05442671688225063
VF23C_Eng,VF23C,Eng,0.4254660706739798,-0.6260101287399167,-0.03060081071599461,-0.18168470319401406,-0.04807664912016764
VF26A_Can,VF26A,Can,-0.3060287157230504,0.660464348359227,0.13415422987802064,0.14622914950522975,0.052398741837187075
VF26A_Eng,VF26A,Eng,-0.34987169014027586,0.6649409977766393,0.13996164164611877,0.13034653906751367,0.050428024619202
VF32A_Can,VF32A,Can,0.2703053228161023,0.47454222474054136,-0.09026527999844738,-0.3634725321163979,-0.1337505093505927
VF32A_Eng,VF32A,Eng,0.27039363614977885,0.440842616028854,-0.08903490254867721,-0.36090848854985014,-0.13944845206853512
