label,speaker,language,dim1,dim2
VF19B_Mixed,VF19B,Mixed,0.338108234628794,0.04358395428212759
VF19D_Mixed,VF19D,Mixed,-0.4269296829562245,0.42528884576125126
VF21A_Mixed,VF21A,Mixed,-0.2388708713899306,-0.15218986965049486
VF21B_Mixed,VF21B,Mixed,0.40039401836244914,-0.33559502257902285
VF21C_Mixed,VF21C,Mixed,0.6947225268570123,-0.07919129546652243
VF21D_Mixed,VF21D,Mixed,0.2693619111884907,-0.580745210627156
VF23B_Mixed,VF23B,Mixed,-0.7993905091660863,-0.15936917704013695
VF23C_Mixed,VF23C,Mixed,-0.4630617615000229,-0.5561783725739519
VF26A_Mixed,VF26A,Mixed,0.3368966167506124,0.6694637084782696
VF32A_Mixed,VF32A,Mixed,-0.11123048277511476,0.7249324394156301
