label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Can,VF19B,Can,0.7739494629731172,0.0724216001749035,0.07020949464899455,0.06595345391128507
VF19D_Can,VF19D,Can,-0.25047939423436005,0.2619117830503587,-0.39434482069627463,-0.03261963414053917
VF21A_Can,VF21A,Can,-0.17476417486403406,0.08029440831330091,-0.147964073372114,-0.41193249603607757
VF21B_Can,VF21B,Can,0.3380144225060951,-0.29254659993060994,-0.3240950543105715,0.1685114913355654
VF21C_Can,VF21C,Can,0.08220722651336104,-0.06792612859135232,0.06495337723256725,0.4342563092796062
VF21D_Can,VF21D,Can,0.4430082974138653,-0.44562044524748456,-0.08158806490613886,-0.1549001806765794
VF23B_Can,VF23B,Can,0.034772652210673556,0.7035706243948421,0.11387186604491022,0.0018603127295253926
VF23C_Can,VF23C,Can,-0.001099797350848114,0.12080500058332237,0.5277345038626506,-0.1109728271775649
VF26A_Can,VF26A,Can,-0.4451896416751683,-0.49707129457332017,0.1796262355637441,-0.04215812123353016
VF32A_Can,VF32A,Can,-0.8004190534926929,0.064161051826059,-0.008403464067780413,0.08200169200830648
