label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_Eng,VF19B,Eng,0.14369619095789693,0.11148916931914603,0.4567837672593981,-0.13187923003294055,-0.06518820253657248
VF19D_Eng,VF19D,Eng,0.028690387012897774,0.025868175465429463,-0.4920032982625846,0.12552503429822282,-0.040741502225085865
VF21A_Eng,VF21A,Eng,-0.10363774468150644,-0.04715009652457622,0.051673891532316815,0.20491224123270377,0.3517621465027119
VF21B_Eng,VF21B,Eng,-0.765762498512523,0.09566669300045955,0.03364610583134257,-0.1684541479222555,-0.04764687245337263
VF21C_Eng,VF21C,Eng,-0.19298109670039743,0.7105066095007508,-0.013099525624418185,-0.07326752378952706,0.09239015651030488
VF21D_Eng,VF21D,Eng,-0.2965040660680244,-0.0065381068429054435,0.15925235480383096,0.40792706532919,-0.1440164283204782
VF23B_Eng,VF23B,Eng,-0.018845445161176002,-0.7657702840340126,0.033167197652032666,-0.01774808381954798,-0.04500013941789511
VF23C_Eng,VF23C,Eng,0.08463595479250575,-0.4227497294431357,-0.07763236629644671,-0.3207215105915998,0.1847821443607615
VF26A_Eng,VF26A,Eng,0.8156610240466196,0.198102312027506,0.027688675839943812,0.17926632945149165,0.020166368794769084
VF32A_Eng,VF32A,Eng,0.3050472943137087,0.10057525753132687,-0.17947680273541683,-0.20556017415568853,-0.30650767121514705
