ndim,all_stimuli_all_listeners,all_stimuli_can_listeners,all_stimuli_eng_listeners,can_stimuli_all_listeners,can_stimuli_can_listeners,can_stimuli_eng_listeners,eng_stimuli_all_listeners,eng_stimuli_can_listeners,eng_stimuli_eng_listeners,mixed_stimuli_all_listeners,mixed_stimuli_can_listeners,mixed_stimuli_eng_listeners
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,1,1,1,1,1,1,1,1,1,1
4,0.867157043061257,0.8544628819926493,0.8680630749787123,0.9057557774861863,0.8918166569959746,0.8965929388064254,0.8837634790629424,0.8696432719520321,0.8816330035738256,0.8524725283273703,0.8590089374715533,0.8647179987308503
5,0.7700810173779583,0.7612338190371484,0.7766069960332597,0.8473690887292856,0.8423924637762739,0.8276373332747503,0.8066723792425521,0.7958265080069596,0.8191990608268093,0.7811907665158623,0.7859442494267792,0.7938610553590393
6,0.709989470289921,0.7013740849290014,0.7157160350623002,0.8054477270467579,0.81650864250490085,0.7922767299852064,0.764872323226552,0.75191279844134,0.7862668921542147,0.7265654665703454,0.7330719924967197,0.737423955706766
7,0.6730301426787443,0.6651728120094231,0.6745826255301981,0.7893779665741343,0.805629091553322,0.7782655713681947,0.7490658834839197,0.7337740949083196,0.7807957553435978,0.6965387144262726,0.7085631238069137,0.701739578591672
