label,speaker,language,dim1,dim2,dim3,dim4
VF19B_Eng,VF19B,Eng,-0.38159463480880196,0.00861692735332037,0.17125168149421233,-0.3148022914800619
VF19D_Eng,VF19D,Eng,0.6341045277654731,0.36424322873640586,-0.08150092619540425,0.055504025422175196
VF21A_Eng,VF21A,Eng,0.02838642367056316,-0.02931528487325503,-0.031198729994865317,0.4508735434359806
VF21B_Eng,VF21B,Eng,-0.3816203919413835,0.09130040943012818,-0.4167539514133106,-0.1102607086587786
VF21C_Eng,VF21C,Eng,-0.31928995038896363,0.6286786576515929,-0.12455358578047995,0.04027114538966853
VF21D_Eng,VF21D,Eng,-0.6684863333554939,-0.15827496703156216,0.07820275945641406,0.1884136758474091
VF23B_Eng,VF23B,Eng,0.11118202185054048,-0.7110113286287103,0.0030523107158209623,-0.0724809790539468
VF23C_Eng,VF23C,Eng,0.3299004737953589,-0.5554820387540048,-0.2115517368394628,0.04951935479913479
VF26A_Eng,VF26A,Eng,0.17265717623774424,0.1625691592114373,0.524035865491775,0.05961106968958914
VF32A_Eng,VF32A,Eng,0.4747606871749767,0.19867523690464928,0.08901631306526357,-0.3466488353911834
