label,speaker,language,dim1,dim2,dim3,dim4,dim5,dim6
VF19B_can,VF19B,can,0.13635744527104954,-0.40213594079662524,0.09966569008988697,-0.08368724811331048,-0.08942813359538074,0.40860231555570425
VF19B_eng,VF19B,eng,0.12514592476550956,-0.3180870058076348,0.07116138842840337,-0.0929523357822246,-0.06683026828474237,0.4285443821417421
VF19D_can,VF19D,can,-0.6439929960527474,0.2501280134624468,-0.0636340729609085,0.16639510090923673,0.22365717238076885,-0.053676575524982194
VF19D_eng,VF19D,eng,-0.6287914560412096,0.2820016486063668,-0.04754306961429168,0.1806991182667723,0.21234761853417705,-0.11835507560579642
VF21A_can,VF21A,can,0.25959938119770615,0.30013541997690973,-0.26795053882839026,0.09754256076707593,0.2800315538563974,0.2469585382391154
VF21A_eng,VF21A,eng,0.43880605296183256,0.22190704104899714,-0.25240144800132497,0.12248305479734359,0.31683020586935984,0.18312528523430335
VF21B_can,VF21B,can,-0.01163241509694811,-0.41413467563667616,-0.10003717370583784,0.3944878588747597,-0.14805219229429298,-0.02462396609190798
VF21B_eng,VF21B,eng,0.03145966395444552,-0.3677880628449942,-0.1548306991659219,0.3773981517420953,-0.18198124971779553,-0.02680549764938747
VF21C_can,VF21C,can,-0.05060286767100073,-0.3613413504636365,-0.39962992326329444,-0.12432811500620879,-0.13303224822104867,-0.11823396102056122
VF21C_eng,VF21C,eng,-0.060967854445255036,-0.25059665338898446,-0.4828714648503433,-0.1721071709995934,-0.0900637892695917,-0.11717147840481001
VF21D_can,VF21D,can,0.018878119569066234,-0.4742676247716657,0.18323186191240357,-0.06350179682040136,0.23672525491908714,-0.27183751378133564
VF21D_eng,VF21D,eng,0.08670980052959848,-0.46826740681640566,0.16363466983929129,-0.08022781375213534,0.26399672049319584,-0.2700368136725154
VF23B_can,VF23B,can,0.16681310732375568,0.17945819825768938,0.5143897298823188,0.21765949284837702,0.028890162118000925,0.058448796725854624
VF23B_eng,VF23B,eng,0.26277271394779356,0.2211283780797192,0.48693874129615083,0.20324888795075746,3.325047267735068e-4,-0.0232464807549254
VF23C_can,VF23C,can,0.588591309865659,0.3036633849126778,-0.02830200716442257,-0.028774248328621778,-0.20034871269755017,-0.2454382148741461
VF23C_eng,VF23C,eng,0.6164645111471162,0.3315643391042532,-0.02731666490624431,-0.0021537132420265228,-0.18789820424797896,-0.24812472732534813
VF26A_can,VF26A,can,-0.14213921386303788,0.23497146829662957,0.10110478592789077,-0.4595334115630466,0.1560936288406161,0.04456737525184537
VF26A_eng,VF26A,eng,-0.11320080748495451,0.2504319879055362,0.08685441216891826,-0.5049674226227877,0.12933788444826697,0.028117146768073385
VF32A_can,VF32A,can,-0.5487004077103899,0.22236586481990486,0.07589402907638765,-0.11255626404533396,-0.3627707014483454,0.033146384294501105
VF32A_eng,VF32A,eng,-0.5315700121679591,0.2588629760553813,0.04164175383933901,-0.03512468588063612,-0.3878372064098551,0.08604008049459001
