label,speaker,language,dim1,dim2,dim3,dim4,dim5
VF19B_can,VF19B,can,-0.24409431996514802,-0.08888850164159921,0.14709354236314573,-0.045402647701857916,0.4558471253074332
VF19B_eng,VF19B,eng,-0.1535601451388435,-0.0658257413078722,0.12165009921609632,-0.06859803436505728,0.45634158905704075
VF19D_can,VF19D,can,0.41557961786656794,0.12471600018386941,-0.416412637816497,0.014825827722582563,0.14270165404282384
VF19D_eng,VF19D,eng,0.3909684516612365,0.17660993384569493,-0.4231364113701081,0.023994701908340486,0.14831684255119015
VF21A_can,VF21A,can,0.2057344952854919,0.019499309132201104,-0.1467017004620059,0.05996708781361022,-0.4580900759927861
VF21A_eng,VF21A,eng,0.08370761997696943,0.09592955694566307,-0.10949017181612233,0.052593387093567145,-0.47824580221620755
VF21B_can,VF21B,can,-0.25501428244091223,-0.557816267530283,-0.1480335275550501,0.28393210735297625,0.0168496009236868
VF21B_eng,VF21B,eng,-0.2700384776467192,-0.5399553493745478,-0.1863836340125424,0.2610404690563124,0.010347696496852002
VF21C_can,VF21C,can,-0.5649796029797977,-0.10183173063032111,-0.24545138421519033,-0.24613165611450422,-0.018942005685894065
VF21C_eng,VF21C,eng,-0.5675978001043771,-0.03466098904787693,-0.26371521832522404,-0.2681518207990381,-0.037908265496574924
VF21D_can,VF21D,can,-0.3901090157553097,-0.22879101868965104,0.39405658557365786,-0.0059332023585168606,-0.1666879588991558
VF21D_eng,VF21D,eng,-0.39539418268171556,-0.18590797597550632,0.4063870793062714,-0.028070466938244772,-0.1887296573790398
VF23B_can,VF23B,can,-0.18793455831731973,0.5019390437930776,-0.02758390668727603,0.4222226278005354,0.042684136360530596
VF23B_eng,VF23B,eng,-0.17749904274613773,0.5714541592133381,-3.1234145877013196e-4,0.3593854033766131,0.039446843528384644
VF23C_can,VF23C,can,0.05498152310673244,0.6263814451212956,0.18515631208526145,-0.24195673771273318,-0.03406281164287412
VF23C_eng,VF23C,eng,0.022184380072329712,0.7076342837855166,0.14837425471425533,-0.22248200267327156,-0.02518635770238597
VF26A_can,VF26A,can,0.5711080569030267,-0.1630021681789815,0.2824741617531847,0.22423283707750324,0.03962314423547521
VF26A_eng,VF26A,eng,0.6003861037090272,-0.18583310367198738,0.29594419663949195,0.21741220044073264,0.04377275710316043
VF32A_can,VF32A,can,0.4497513872061107,-0.343401690420161,0.0021545444898212755,-0.3847037499045168,-0.0075161711027633285
VF32A_eng,VF32A,eng,0.41181979198888136,-0.32824919555185145,-0.016069842422439414,-0.4081763310750347,0.01943771651115967
