label,speaker,language,dim1,dim2,dim3,dim4
VF19B_can,VF19B,can,-0.10060731456919268,-0.009619615884134826,0.509090280261932,0.06937521500627813
VF19B_eng,VF19B,eng,-0.050216472411907714,-0.037847632500192234,0.46355303928934344,0.20384976692686638
VF19D_can,VF19D,can,0.36208981475944685,0.045875187970780266,-0.009701042726928542,0.4358999454690972
VF19D_eng,VF19D,eng,0.4428704402499801,-0.022154669610713114,0.0050813728309358555,0.43366543054638745
VF21A_can,VF21A,can,-0.2163351196276925,-0.4948813186088889,-0.208954593145876,0.2847108325249018
VF21A_eng,VF21A,eng,-0.27590120826924375,-0.5865824542247786,-0.12604135372283978,0.15426585611679655
VF21B_can,VF21B,can,-0.11508831136298954,0.5468898854776147,0.21515963303918328,-0.19757894964114756
VF21B_eng,VF21B,eng,-0.0545248962514119,0.6145899532224142,0.20758668691960844,-0.156269372639598
VF21C_can,VF21C,can,-0.6470667539507243,0.33222204388780346,0.04151128270053772,0.14204676529812155
VF21C_eng,VF21C,eng,-0.6624350355152777,0.2845009072824405,0.02911271376275087,0.19981967988788696
VF21D_can,VF21D,can,-0.5053923231280593,-0.13628880606759025,0.14242027252278502,-0.34113197611611
VF21D_eng,VF21D,eng,-0.47416816863818373,-0.2631240473360711,0.14637554698837565,-0.32250210260843004
VF23B_can,VF23B,can,0.7418642596182475,0.12072508102910692,0.05328617158896587,-0.16099113586646496
VF23B_eng,VF23B,eng,0.6821710025753397,-0.08407308452601682,0.08259945791696711,-0.18840339313125773
VF23C_can,VF23C,can,0.27210762287854495,-0.6548741431361876,0.04715038151263336,-0.19077635233395177
VF23C_eng,VF23C,eng,0.46336020903286346,-0.6007795525920013,0.06856503388339918,-0.17385080099701122
VF26A_can,VF26A,can,-0.04978983744620902,0.07449958342300564,-0.4325400099175052,-0.2961069233333581
VF26A_eng,VF26A,eng,-0.0721636498036412,0.12124330373108641,-0.4466421991808953,-0.3202264041570607
VF32A_can,VF32A,can,0.1315743627668477,0.34466950691466175,-0.40298601662109307,0.21571979875613312
VF32A_eng,VF32A,eng,0.12765137909330918,0.4050098715476745,-0.38462665790232653,0.20848412029198363
